City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,20.86,96,97,1.34,EC,1730335777
1,port elizabeth,-33.918,25.5701,16.29,88,75,2.06,ZA,1730335779
2,port alfred,-33.5906,26.891,12.88,96,5,3.65,ZA,1730335780
3,port-aux-francais,-49.35,70.2167,4.25,85,32,12.17,TF,1730335781
4,tiksi,71.6872,128.8694,-24.06,100,77,1.42,RU,1730335782
5,invercargill,-46.4,168.35,13.34,87,100,7.6,NZ,1730335693
6,trairi,-3.2778,-39.2689,25.38,76,100,5.13,BR,1730335784
7,georgetown,5.4112,100.3354,25.97,89,20,1.54,MY,1730335785
8,adamstown,-25.066,-130.1015,21.09,74,95,11.53,PN,1730335786
9,linxia chengguanzhen,35.6003,103.2064,5.18,76,100,0.02,CN,1730335788
10,changsha,28.2,112.9667,15.09,49,0,2.52,CN,1730335789
11,jamestown,42.097,-79.2353,20.01,54,0,4.63,US,1730335790
12,margaret river,-33.95,115.0667,19.75,56,99,1.85,AU,1730335791
13,egilsstadir,65.2653,-14.3948,-0.05,69,0,2.06,IS,1730335792
14,yellowknife,62.456,-114.3525,-10.71,85,75,2.06,CA,1730335793
15,lensk,60.7253,114.9278,-11.45,95,99,0.74,RU,1730335794
16,port mathurin,-19.6833,63.4167,22.99,67,39,7.47,MU,1730335796
17,blackmans bay,-43.0167,147.3167,13.18,70,73,5.79,AU,1730335797
18,holualoa,19.6228,-155.9522,27.13,76,0,3.09,US,1730335798
19,grytviken,-54.2811,-36.5092,0.17,83,38,4.88,GS,1730335799
20,khandyga,62.6667,135.6,-17.25,89,100,0.06,RU,1730335800
21,dudinka,69.4058,86.1778,-10.64,95,100,5.15,RU,1730335801
22,anadyr,64.75,177.4833,-0.72,74,75,14.0,RU,1730335802
23,kokoda,-8.8785,147.7407,30.79,63,100,1.07,PG,1730335804
24,nyurba,63.2842,118.3319,-22.42,98,100,0.33,RU,1730335805
25,hazaribagh,23.9833,85.35,21.09,75,7,1.18,IN,1730335806
26,bredasdorp,-34.5322,20.0403,13.75,88,4,1.9,ZA,1730335807
27,geraldton,-28.7667,114.6,25.23,47,0,3.09,AU,1730335808
28,suva,-18.1416,178.4415,27.71,78,75,3.09,FJ,1730335809
29,murehwa,-17.6432,31.784,18.42,83,100,2.29,ZW,1730335810
30,manicore,-5.8092,-61.3003,30.97,42,99,1.33,BR,1730335812
31,esikhaleni,-28.871,31.8996,18.86,82,100,5.77,ZA,1730335813
32,lebu,-37.6167,-73.65,11.41,94,59,3.65,CL,1730335814
33,sisimiut,66.9395,-53.6735,-8.86,62,14,7.5,GL,1730335815
34,ust-nera,64.5667,143.2,-19.43,98,98,2.25,RU,1730335816
35,longyearbyen,78.2186,15.6401,-7.09,63,20,3.09,SJ,1730335817
36,hami,42.8,93.45,7.15,48,49,1.94,CN,1730335818
37,ushuaia,-54.8,-68.3,6.81,61,20,8.75,AR,1730335820
38,olonkinbyen,70.9221,-8.7187,-5.28,53,100,9.18,SJ,1730335821
39,aasiaat,68.7098,-52.8699,-12.52,76,99,5.96,GL,1730335822
40,vorgashor,67.5833,63.95,-5.2,93,97,3.7,RU,1730335823
41,kattivakkam,13.2167,80.3167,27.2,99,0,1.28,IN,1730335824
42,thunder bay,48.4001,-89.3168,4.99,81,75,1.54,CA,1730335796
43,alotau,-10.3069,150.4462,27.94,68,100,2.37,PG,1730335826
44,ola,59.5833,151.2833,-7.07,57,100,8.49,RU,1730335827
45,puerto natales,-51.7236,-72.4875,8.28,96,100,1.97,CL,1730335829
46,lionel town,17.8101,-77.2406,25.31,84,30,3.17,JM,1730335830
47,fada,7.25,4.0667,22.88,97,11,1.07,NG,1730335831
48,safi,32.1667,-8.8333,16.08,82,0,5.16,MA,1730335832
49,macapa,0.0389,-51.0664,29.99,79,40,7.72,BR,1730335833
50,kodiak,57.79,-152.4072,5.73,56,0,2.57,US,1730335834
51,tosontsengel,48.7567,98.2839,-8.71,75,10,1.23,MN,1730335835
52,sandnessjoen,66.0217,12.6316,4.57,68,100,8.67,NO,1730335837
53,hamilton,39.1834,-84.5333,21.65,62,0,2.68,US,1730335838
54,papao,-17.75,-149.55,28.82,70,17,7.55,PF,1730335839
55,thompson,55.7435,-97.8558,-3.91,54,20,3.6,CA,1730335840
56,supaul,26.1167,86.6,24.07,74,3,1.71,IN,1730335841
57,burutu,5.3509,5.5076,25.14,89,18,2.29,NG,1730335842
58,margate,51.3813,1.3862,12.71,88,100,0.64,GB,1730335844
59,ouarzazat,30.9189,-6.8934,13.16,50,0,1.03,MA,1730335846
60,tataouine,32.9297,10.4518,19.61,81,53,2.73,TN,1730335847
61,papatowai,-46.5619,169.4708,13.84,74,100,5.09,NZ,1730335848
62,alofi,-19.0595,-169.9187,28.94,65,75,4.12,NU,1730335849
63,constantia,44.1833,28.65,11.5,65,16,2.36,RO,1730335850
64,waitangi,-43.9535,-176.5597,13.79,80,25,4.47,NZ,1730335849
65,lubango,-14.9172,13.4925,19.92,18,100,3.6,AO,1730335853
66,kolonia,50.9333,6.95,13.31,91,100,0.51,DE,1730335801
67,port lincoln,-34.7333,135.8667,16.92,67,66,4.87,AU,1730335855
68,talnakh,69.4865,88.3972,-12.81,94,100,3.46,RU,1730335856
69,nephi,39.7102,-111.8363,0.62,72,28,1.07,US,1730335799
70,touros,-5.1989,-35.4608,25.22,75,70,5.61,BR,1730335858
71,yamada,39.4667,141.95,16.08,54,3,1.12,JP,1730335859
72,mobara,35.4167,140.3,19.67,47,14,3.12,JP,1730335860
73,stanley,54.868,-1.6985,11.01,94,75,6.17,GB,1730335850
74,saipan,15.1355,145.701,31.39,66,75,7.72,MP,1730335863
75,tangalle,6.024,80.7911,25.48,89,91,2.82,LK,1730335864
76,nadym,65.5333,72.5167,-5.47,91,100,4.61,RU,1730335866
77,isafjordur,66.0755,-23.124,-2.03,92,96,2.94,IS,1730335868
78,la passe,45.5549,-0.8967,15.07,85,0,3.94,FR,1730335869
79,chon daen,16.1895,100.8596,24.72,85,96,0.6,TH,1730335871
80,iqaluit,63.7506,-68.5145,-0.15,86,100,9.26,CA,1730335872
81,lluta,-16.0147,-72.0142,11.72,38,99,0.98,PE,1730335873
82,island harbour,50.724,-1.2758,12.21,71,29,3.35,GB,1730335874
83,qaqortoq,60.7167,-46.0333,-11.69,62,0,3.43,GL,1730335875
84,t'ongch'on-up,38.9539,127.8917,16.31,61,82,0.78,KP,1730335876
85,eloy,32.7559,-111.5548,21.02,24,100,1.98,US,1730335877
86,glace bay,46.1969,-59.957,4.88,76,100,2.68,CA,1730335879
87,bethel,41.3712,-73.414,18.7,79,100,1.34,US,1730335880
88,acs,47.7123,18.0113,8.06,100,20,2.06,HU,1730335881
89,pontianak,-0.0333,109.3333,26.99,94,75,0.0,ID,1730335882
90,beya,53.0533,90.9139,1.25,66,100,3.84,RU,1730335883
91,montepuez,-13.1256,38.9997,21.24,89,84,2.18,MZ,1730335884
92,edinburgh of the seven seas,-37.0676,-12.3116,13.27,80,4,6.72,SH,1730335885
93,carnarvon,-24.8667,113.6333,28.03,47,0,4.13,AU,1730335887
94,avarua,-21.2078,-159.775,26.03,65,20,7.2,CK,1730335888
95,kapuskasing,49.4169,-82.4331,6.0,100,100,4.12,CA,1730335889
96,lekki,6.3607,4.8333,24.34,94,20,1.05,NG,1730335891
97,minas de marcona,-15.2119,-75.1103,13.61,79,70,4.18,PE,1730335892
98,fale old settlement,-9.3852,-171.2468,28.56,71,99,6.58,TK,1730335893
99,kingston,17.997,-76.7936,26.53,78,40,3.09,JM,1730335894
100,sal rei,16.1833,-22.9167,25.26,75,100,5.25,CV,1730335895
101,pasighat,28.0667,95.3333,22.41,76,24,0.74,IN,1730335897
102,hermanus,-34.4187,19.2345,13.78,81,1,4.37,ZA,1730335898
103,sungai penuh,-2.0833,101.3833,21.62,84,98,1.04,ID,1730335899
104,moranbah,-22.0016,148.0466,31.3,24,4,3.26,AU,1730335900
105,puerto madero,14.7208,-92.4215,28.27,74,22,2.25,MX,1730335901
106,urengoy,65.9667,78.3667,-4.66,95,100,4.71,RU,1730335902
107,aiken,33.5835,-81.5998,22.01,77,0,2.57,US,1730335903
108,okoneshnikovo,54.8377,75.0834,-0.97,82,15,1.11,RU,1730335905
109,crucecita,-28.95,-58.9833,22.79,54,0,4.84,AR,1730335906
110,whitehorse,60.7161,-135.0538,-2.77,85,75,2.06,CA,1730335907
111,cooper's town,26.8667,-77.5167,25.51,66,100,11.8,BS,1730335909
112,susuman,62.7833,148.1667,-14.2,85,100,2.81,RU,1730335910
113,greenville,35.6127,-77.3663,20.63,85,0,2.06,US,1730335911
114,nakamura,32.9833,132.9333,20.14,65,100,2.28,JP,1730335912
115,aliwal north,-30.6937,26.7114,9.09,74,0,2.46,ZA,1730335914
116,albany,42.6001,-73.9662,18.58,74,100,0.45,US,1730335915
117,uturoa,-16.7333,-151.4333,25.54,69,100,6.88,PF,1730335916
118,atafu village,-8.5421,-172.5159,28.35,69,97,6.33,TK,1730335917
119,utrik,11.2278,169.8474,28.45,78,100,6.01,MH,1730335918
120,west island,-12.1568,96.8225,26.99,78,20,4.63,CC,1730335919
121,flying fish cove,-10.4217,105.6791,26.82,89,75,4.63,CX,1730335921
122,wailua homesteads,22.0669,-159.378,27.44,78,75,8.75,US,1730335922
123,yauya,-8.9833,-77.3,12.55,70,72,2.36,PE,1730335923
124,maluso,6.543,121.8753,29.37,70,99,1.05,PH,1730335924
125,amungan,15.3652,119.9582,26.5,88,100,2.84,PH,1730335925
126,antsiranana,-12.2787,49.2917,23.85,78,11,6.86,MG,1730335926
127,tura,25.5198,90.2201,22.6,85,56,1.14,IN,1730335927
128,nouadhibou,20.931,-17.0347,21.99,64,100,4.63,MR,1730335928
129,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.0,GF,1730335930
130,tofol,5.3248,163.0078,24.88,94,75,2.57,FM,1730335931
131,kurumkan,54.3,110.3,-2.74,87,63,1.43,RU,1730335932
132,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,35,20,7.0,RU,1730335933
133,labrador city,52.9463,-66.9114,0.95,93,100,30.4,CA,1730335934
134,east london,-33.0153,27.9116,15.04,78,0,3.77,ZA,1730335935
135,arraial do cabo,-22.9661,-42.0278,19.98,100,40,0.0,BR,1730335938
136,that phanom,16.9364,104.7104,23.36,82,100,2.12,TH,1730335939
137,madalena,41.2162,-8.3345,15.32,96,100,1.42,PT,1730335940
138,iskateley,67.6803,53.1512,0.57,77,100,8.32,RU,1730335941
139,ribeira grande,38.5167,-28.7,20.43,91,9,5.81,PT,1730335942
140,lihue,21.9789,-159.3672,27.77,74,75,8.75,US,1730335943
141,nova vicosa,-17.8919,-39.3719,22.22,89,100,1.53,BR,1730335944
142,kyelang,32.5833,77.0333,-1.69,62,9,2.58,IN,1730335946
143,yefremov,53.1481,38.0992,8.93,91,100,9.67,RU,1730335947
144,malvan,16.0667,73.4667,25.45,86,0,1.91,IN,1730335949
145,weno,7.4515,151.8468,30.97,79,75,3.6,FM,1730335950
146,pagsanghan,11.9657,124.7212,28.68,76,100,3.52,PH,1730335952
147,prince rupert,54.3161,-130.3201,9.05,81,100,7.72,CA,1730335953
148,kodinsk,58.6881,99.1844,-1.59,95,100,1.52,RU,1730335954
149,bikenibeu village,1.3673,173.1241,30.98,66,20,1.54,KI,1730335955
150,college,64.8569,-147.8028,-9.96,80,20,0.0,US,1730335956
151,mayna,54.1135,47.6231,2.38,80,100,7.9,RU,1730335957
152,stranraer,54.9023,-5.0273,12.74,93,100,4.49,GB,1730335958
153,hawaiian paradise park,19.5933,-154.9731,25.49,88,75,0.89,US,1730335959
154,kuta,-8.7233,115.1723,25.97,94,75,2.06,ID,1730335961
155,bereket,39.2446,55.5154,11.66,52,89,2.97,TM,1730335962
156,dubbo,-32.25,148.6167,29.07,18,77,4.63,AU,1730335963
157,ilulissat,69.2167,-51.1,-8.99,41,75,10.29,GL,1730335965
158,klyuchi,52.2667,79.1667,-0.36,72,40,3.14,RU,1730335966
159,saint-pierre,-21.3393,55.4781,20.82,68,0,3.09,RE,1730335967
160,san mariano,7.5,126.0,26.2,83,100,0.04,PH,1730335968
161,champerico,14.3,-91.9167,28.01,77,78,2.74,GT,1730335970
162,raduzhny,62.0961,77.475,-1.26,90,99,2.57,RU,1730335971
163,sitka,57.0531,-135.33,11.94,54,40,5.66,US,1730335972
164,tolanaro,-25.0319,46.9987,25.04,78,75,5.14,MG,1730335973
165,seoni malwa,22.45,77.4667,20.47,59,5,1.67,IN,1730335974
166,mount gambier,-37.8333,140.7667,15.57,57,92,4.68,AU,1730335941
167,dolores,-36.3132,-57.6792,18.09,77,98,4.69,AR,1730335978
168,laojunmiao,39.8333,97.7333,3.62,49,0,1.62,CN,1730335979
169,kavaratti,10.5669,72.642,27.4,68,37,1.97,IN,1730335980
170,vanino,49.0869,140.2543,7.33,51,25,4.99,RU,1730335981
171,bilibino,68.0546,166.4372,-11.95,89,100,2.92,RU,1730335982
172,luena,-11.7833,19.9167,16.82,96,99,1.74,AO,1730335983
173,qarazhal,48.0078,70.7903,3.93,96,100,7.19,KZ,1730335984
174,hilo,19.7297,-155.09,25.61,94,75,0.45,US,1730335986
175,ulladulla,-35.35,150.4667,18.44,70,100,4.84,AU,1730335987
176,tromso,69.6496,18.957,1.01,69,75,5.14,NO,1730335988
177,arno,60.1167,18.6333,4.86,66,100,5.38,SE,1730335989
178,new norfolk,-42.7826,147.0587,13.84,52,80,1.92,AU,1730335990
179,andergrove,-21.0833,149.1833,25.94,59,1,5.72,AU,1730335991
180,manjeshvar,12.7,74.8833,24.66,92,22,2.15,IN,1730335992
181,metlili chaamba,32.2667,3.6333,19.52,68,0,1.54,DZ,1730335993
182,priozersk,61.0393,30.1291,2.83,59,38,7.41,RU,1730335995
183,flin flon,54.7682,-101.865,-2.68,63,98,2.32,CA,1730335996
184,magadan,59.5667,150.8,-7.3,59,100,5.26,RU,1730335997
185,yamaguchi,34.1858,131.4714,16.93,59,100,1.81,JP,1730335998
186,st. john's,47.5649,-52.7093,1.2,83,40,1.03,CA,1730335861
187,horta,38.5333,-28.6333,20.01,91,14,5.81,PT,1730336000
188,guiuan,11.0333,125.7247,28.53,81,100,6.92,PH,1730336001
189,kimbe,-5.5502,150.1429,29.93,72,36,2.49,PG,1730336002
190,fort mcmurray,56.7268,-111.381,-3.23,74,100,2.57,CA,1730335942
191,leava,-14.3,-178.1667,27.38,77,8,2.68,WF,1730336005
192,davlekanovo,54.2215,55.0343,1.53,90,100,4.68,RU,1730336006
193,okha,53.5739,142.9478,-0.23,64,100,8.1,RU,1730336007
194,san ignacio de velasco,-16.3667,-60.95,24.09,82,48,1.68,BO,1730336008
195,nuuk,64.1835,-51.7216,-4.66,50,5,1.54,GL,1730336009
196,nova sintra,14.8667,-24.7167,26.17,76,100,5.13,CV,1730336010
197,burlington,39.8835,-74.6413,17.99,75,0,3.09,US,1730336012
198,nemuro,43.3236,145.575,10.44,58,11,7.89,JP,1730336013
199,fort bragg,35.139,-79.006,20.75,84,0,0.0,US,1730336014
200,peniche,39.3558,-9.3811,15.11,93,94,3.83,PT,1730336015
201,panchgani,17.9167,73.8167,19.55,84,0,1.78,IN,1730336017
202,zhezqazghan,47.7833,67.7667,4.32,100,100,3.0,KZ,1730336018
203,lompoc,34.6391,-120.4579,17.23,70,0,3.09,US,1730335879
204,port hedland,-20.3167,118.5667,36.03,20,76,3.6,AU,1730336021
205,aweil,8.7682,27.4002,25.26,70,97,1.45,SS,1730336022
206,katsuren-haebaru,26.3369,127.8719,30.22,79,75,9.26,JP,1730336023
207,cabo san lucas,22.8909,-109.9124,28.17,74,75,2.06,MX,1730335340
208,ancud,-41.8697,-73.8203,9.63,95,7,1.65,CL,1730336026
209,gadzhiyevo,69.2551,33.3362,1.57,77,100,8.05,RU,1730336027
210,isangel,-19.55,169.2667,24.48,68,100,5.11,VU,1730336028
211,hasaki,35.7333,140.8333,18.66,55,28,4.68,JP,1730336030
212,howard springs,-12.497,131.047,25.95,59,94,3.21,AU,1730336031
213,pionerskiy,54.9508,20.2275,9.91,80,100,8.16,RU,1730336032
214,nasiriyah,31.0521,46.261,20.53,44,100,4.13,IQ,1730336033
215,mitu,1.1983,-70.1733,23.51,88,16,1.17,CO,1730336034
216,muravlenko,63.7898,74.523,-5.35,96,83,4.57,RU,1730336035
217,broken arrow,36.0526,-95.7908,27.76,51,100,7.72,US,1730336036
218,kayangel,8.0823,134.7173,29.1,74,31,4.53,PW,1730336038
219,marhaura,25.9667,84.8667,24.58,62,1,1.36,IN,1730336039
220,monrovia,6.3005,-10.7969,25.49,86,100,3.94,LR,1730335852
221,al harithah,30.7186,47.7208,18.98,63,75,5.14,IQ,1730336041
222,castillos,-34.1667,-53.8333,16.63,97,45,2.86,UY,1730336042
223,colonia,50.9333,6.95,13.31,91,100,0.51,DE,1730336043
224,san luis de la loma,17.2706,-100.8939,26.97,86,100,2.29,MX,1730336044
225,kiunga,-6.1219,141.2906,26.1,86,100,0.78,PG,1730336045
226,gaya,24.7833,85.0,23.42,69,9,1.1,IN,1730336048
227,fortuna,40.5982,-124.1573,11.07,95,100,4.12,US,1730336049
228,vila velha,-20.3297,-40.2925,22.97,96,75,5.14,BR,1730336050
229,gaalkacyo,6.7697,47.4308,24.9,72,5,5.84,SO,1730336051
230,moree,-29.4667,149.85,31.15,18,3,2.54,AU,1730336052
231,harper,4.375,-7.7169,24.89,90,91,2.65,LR,1730336053
232,guasdualito,7.2424,-70.7324,27.98,83,40,1.03,VE,1730336054
233,bardsir,29.9227,56.5743,12.48,45,1,0.98,IR,1730336056
234,tingo maria,-9.2895,-76.0088,23.03,90,92,1.04,PE,1730336057
235,libenge,3.65,18.6333,21.66,96,100,0.96,CD,1730336058
236,cidreira,-30.1811,-50.2056,20.3,88,35,9.53,BR,1730336059
237,alice springs,-23.7,133.8833,31.75,9,11,4.12,AU,1730336060
238,barra de santo antonio,-9.4047,-35.5072,24.3,76,4,4.29,BR,1730336061
239,vila franca do campo,37.7167,-25.4333,18.27,99,3,2.96,PT,1730336062
240,baise city,23.8997,106.6133,24.08,99,0,0.69,CN,1730336064
241,ruiz,21.95,-105.15,23.84,86,0,0.91,MX,1730336065
242,tazacorte,28.629,-17.9293,18.54,81,0,3.6,ES,1730336066
243,buala,-8.145,159.5921,27.9,78,100,1.4,SB,1730336067
244,port saint john's,-31.6229,29.5448,15.97,80,8,4.35,ZA,1730336068
245,sorong,-0.8833,131.25,29.61,71,83,0.49,ID,1730336069
246,mandla,22.6,80.3833,20.08,75,3,1.18,IN,1730336072
247,valparaiso,-33.0393,-71.6273,13.8,94,100,3.6,CL,1730336073
248,waddan,29.1614,16.139,17.47,74,0,1.42,LY,1730336074
249,dabakala,8.3667,-4.4333,23.23,94,100,1.24,CI,1730336075
250,shache,38.4167,77.2406,8.69,39,0,1.76,CN,1730336076
251,guilin,25.2819,110.2864,16.06,54,0,3.17,CN,1730336077
252,galveston,29.3669,-94.9669,27.24,87,0,6.17,US,1730335785
253,garoowe,8.4054,48.4845,23.4,59,3,4.85,SO,1730336080
254,vorkuta,67.5,64.0,-5.15,93,100,3.38,RU,1730336081
255,mundargi,15.2167,75.9,23.59,77,22,1.39,IN,1730336082
256,tubarjal,30.4999,38.216,18.18,41,0,3.48,SA,1730336083
257,simojovel de allende,17.2,-92.6333,23.71,100,100,0.04,MX,1730336084
258,hithadhoo,-0.6,73.0833,27.34,65,100,1.95,MV,1730336085
259,izki,22.9333,57.7667,23.31,66,0,0.37,OM,1730336086
260,midvagur,62.0511,-7.1939,6.46,93,100,4.63,FO,1730336087
261,gaigeturi,33.4644,126.3183,21.03,64,75,6.17,KR,1730336090
262,catalao,-18.1658,-47.9464,18.28,93,2,2.75,BR,1730336091
263,mata-utu,-13.2816,-176.1745,25.48,83,49,3.26,WF,1730336092
264,locust grove,33.346,-84.1091,19.43,86,0,1.16,US,1730336093
265,praia da vitoria,38.7333,-27.0667,19.14,88,40,5.04,PT,1730336094
266,kotlas,61.2611,46.6556,0.89,96,100,5.43,RU,1730336096
267,wenchang,30.904,118.4887,17.95,78,26,5.78,CN,1730336097
268,quellon,-43.1167,-73.6167,9.35,91,8,2.14,CL,1730336098
269,janauba,-15.8025,-43.3089,20.72,92,100,3.0,BR,1730336099
270,butembo,0.15,29.2833,14.3,97,100,0.92,CD,1730336100
271,hotan,37.0997,79.9269,9.71,42,54,2.18,CN,1730336101
272,berezovo,63.9381,65.0419,-3.84,93,34,3.42,RU,1730336102
273,kolokani,13.5728,-8.0339,25.78,37,96,2.38,ML,1730336103
274,thief river falls,48.1191,-96.1812,1.96,69,0,3.09,US,1730336105
275,gaziantep,37.0594,37.3825,4.96,49,0,2.57,TR,1730336106
276,bartlesville,36.7473,-95.9808,23.95,83,7,2.68,US,1730336107
277,pacific grove,36.6177,-121.9166,14.81,89,15,1.34,US,1730336108
278,priargunsk,50.3691,119.1012,3.15,74,100,0.62,RU,1730336109
279,morehead city,34.7229,-76.726,20.55,88,0,0.45,US,1730336110
280,onega,63.9061,38.1404,1.71,97,100,4.16,RU,1730336111
